target,cohort,feature_set,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2,mean_improvement_vs_test_mean_pct
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=12,y_transform=none,x_transform=none",10,0.55887802,0.20181691,0.35241176,-0.38725566,6.6238976
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=12,y_transform=log1p,x_transform=none",10,0.55887802,0.20181691,0.35241176,-0.38725566,6.6238976
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=24,y_transform=none,x_transform=none",10,0.55887802,0.20181691,0.35241176,-0.38725566,6.6238976
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=24,y_transform=log1p,x_transform=none",10,0.55887802,0.20181691,0.35241176,-0.38725566,6.6238976
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=48,y_transform=none,x_transform=none",10,0.55887802,0.20181691,0.35241176,-0.38725566,6.6238976
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=48,y_transform=log1p,x_transform=none",10,0.55887802,0.20181691,0.35241176,-0.38725566,6.6238976
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=96,y_transform=none,x_transform=none",10,0.55887802,0.20181691,0.35241176,-0.38725566,6.6238976
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=96,y_transform=log1p,x_transform=none",10,0.55887802,0.20181691,0.35241176,-0.38725566,6.6238976
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=12,y_transform=none,x_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=12,y_transform=log1p,x_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=24,y_transform=none,x_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=24,y_transform=log1p,x_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=48,y_transform=none,x_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=48,y_transform=log1p,x_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=96,y_transform=none,x_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=96,y_transform=log1p,x_transform=none",10,0.59378797,0.13923411,0.34958824,-0.23015819,5.8580199
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,metric=euclidean,max_features=12,y_transform=none,x_transform=none",10,0.68130402,0.17041903,0.46075564,-0.50571565,-4.2109396
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,metric=euclidean,max_features=24,y_transform=none,x_transform=none",10,0.68130402,0.17041903,0.46075564,-0.50571565,-4.2109396
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,metric=euclidean,max_features=48,y_transform=none,x_transform=none",10,0.68130402,0.17041903,0.46075564,-0.50571565,-4.2109396
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,metric=euclidean,max_features=96,y_transform=none,x_transform=none",10,0.68130402,0.17041903,0.46075564,-0.50571565,-4.2109396
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=12,y_transform=none,x_transform=sample_center",10,0.69703565,0.25116577,0.41441176,-0.44089165,-4.2942033
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=12,y_transform=log1p,x_transform=sample_center",10,0.69703565,0.25116577,0.41441176,-0.44089165,-4.2942033
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=24,y_transform=none,x_transform=sample_center",10,0.69703565,0.25116577,0.41441176,-0.44089165,-4.2942033
